ファイル名,元名称,日本語名称,英語名称
珊瑚宫心海,珊瑚宫心海,珊瑚宮心海,Sangonomiya Kokomi
珊瑚宫心海,侧髪,側髪,Side Hair
珊瑚宫心海,后髪辫,編み込み,Back Hair Braid
珊瑚宫心海,带1,帯1,Belt 1
珊瑚宫心海,头饰,頭飾り,Head Ornament
珊瑚宫心海,袖子边,袖の縁,Sleeve Edge
珊瑚宫心海,蝴蝶结,リボン,Ribbon (Bowknot)
珊瑚宫心海,装饰,装飾,Decoration
珊瑚宫心海,前摆,前裾,Front Hem
珊瑚宫心海,后摆,後ろ裾,Back Hem
珊瑚宫心海,腰后结,腰の後ろの結び,Waist Back Knot
珊瑚宫心海,腰后装饰,腰の後ろの装飾,Waist Back Decoration
珊瑚宫心海,齿下,歯の下,Lower Teeth
珊瑚宫心海,齿上,歯の上,Upper Teeth
珊瑚宫心海,左结1,左の結び1,Left Knot 1
珊瑚宫心海,右结1,右の結び1,Right Knot 1
珊瑚宫心海,装饰上,装飾上,Upper Decoration
珊瑚宫心海,装饰下,装飾下,Lower Decoration
珊瑚宫心海,左侧髪,左側髪,Left Side Hair
珊瑚宫心海,右带,右帯,Right Belt
珊瑚宫心海,右后摆,右後ろ裾,Right Back Hem
珊瑚宫心海,右侧髪,右側髪,Right Side Hair
珊瑚宫心海,左带,左帯,Left Belt
珊瑚宫心海,左后摆,左後ろ裾,Left Back Hem
迪卢克,迪卢克,ディルック,Diluc
迪卢克,脸,下半身,lower
迪卢克,脖子,首,neck
,头发,髪,hair
迪卢克,领带,ネクタイ,necktie
迪卢克,饰品,装飾品,accessory
迪卢克,裤子,下半身,lower
迪卢克,口横缩,口横,mouth width
